file,title,tags,description,height,width,depth,dimension,medium,price,rank,hide,year,on,etsy link
bashi.jpg,Bashi-Bazouk,Portrait Recreation,"This contemporary painting is a modern day recreation of painting Bashi-Bazouk
by Jean-Léon Gérôme.",,,, x  x in,Acrylic,Avalible,,1,,Canvas,
blossom.jpg,Blossoms,Floral Colorful,Contemporary painting of cherry blossoms.,,,, x  x in,Acrylic,Avalible,1,1,,Canvas,https://www.etsy.com/listing/4334760433/cherry-blossoms-fine-art-giclee-print-of
nude.jpg,Nude Woman,Figure Colorful,Contemporary painting of a nude girl,,,, x  x in,Acrylic,Sold,1,1,,Canvas,https://www.etsy.com/listing/4334759150/contemporary-figure-fine-art-giclee
purpletree.jpg,Purple Tree,Landscape Recreation,Contemporary recreation of The Beeches by Asher Brown Durand. This version features bright purples and heavy texture,,,, x  x in,Acrylic,Avalible,1,1,,Canvas,https://www.etsy.com/listing/4334761827/the-beeches-contemporary-take-fine-art
stew.jpg,Stewart,Portrait Colorful,Contemporary abstracted portrait featuring heavy textures and bright colors,,,, x  x in,Acrylic,Sold,1,1,,Canvas,
abstface.jpg,Abstract Face,Colorful Abstracted Portrait,Contemporary abstracted portrait featuring heavy textures and bright colors,,,, x  x in,Acrylic,Avalible,,1,,Canvas,
malebod.jpg,Male torso,Figure,Painting of a male torso with foilage in the background,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
ophelia.jpg,Ophelia,Landscape Recreation,Recreation of Ophelia but in a style that better matched my décor,,,, x  x in,Acrylic,Unavalible,3,0,,Canvas,
rainbowdog.jpg,Rainbow Dog,Animal Colorful Recreation,Painting of a statue in a Texas art museum do not know if it was the Houston or Dallas art museum,,,, x  x in,Acrylic,Avalible,,1,,Canvas,
satyr.jpg,Nympn and Satyr,Figure Recreation,Recreation of Nymph and Satyr,,,, x  x in,Acrylic and Marker,Avalible,,0,,Canvas,
selfport.jpg,Self Portrait,Portrait Colorful,Colorful contempoary self portrait painting.,,,, x  x in,Acrylic,Avalible,2,1,,Canvas,
cat.jpg,Kitkat,Animal,Impasto painting of my cat Kitty Katdashian,,,, x  x in,Acrylic,Unavalible,,1,,Canvas,
lighthouse.jpg,Lighthouse,Landscape Colorful,Painting of a lighthouse featuring pink colors and heavy textures,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
rosestatue.jpg,Rose Statue,Figure,Painting of a woman figure with floral background,,,, x  x in,Acrylic,Sold,,0,,Canvas,
trex.jpg,T-rex,Animal Colorful,Marker doodle of a T-rex,,,, x  x in,Marker,Avalible,,0,,Canvas,
killer.jpg,Killer,Portrait,Doodle from inktober,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
tulips.jpg,Tulips,Floral,Tulip flowerbed in Raleigh,,,,,Acrylic,Avalible,3,0,,Canvas,
virginiacity.jpg,Virginia City Plein Air,Landscape Plein_Air,Plein air of Virginia City Landscape,,,,,Acrylic,Avalible,,1,2025,Panel,https://www.etsy.com/listing/4334761599/virginia-city-nevada-plein-air-fine-art
tahoerocks.jpg,Sand Harbor,Landscape Plein_Air,Plein air of Sand Harbor of lake tahoe,,,,,Acrylic,Avalible,3,1,2025,Panel,https://www.etsy.com/listing/4334759825/sand-harbor-lake-tahoe-plein-air-fine
koreantree.jpg,Korean Burial Site,Landscape,Painting of a korean burial site in the fall,,,,,Acrylic,Avalible,,1,2024,Canvas,https://www.etsy.com/listing/4334756766/korean-burial-mounds-fine-art-giclee
sleepingromanguy.jpg,Adonis,Figure,"Painting of Adonis sculpture in the met,",,,,,Acrylic,Avalible,2,1,2024,Panel,https://www.etsy.com/listing/4334759784/adonis-fine-art-giclee-print-of-acrylic
renopleinair.jpg,Downton Reno,Landscape Plein_Air,"Plein air painting of a river in downtown Reno, Nevada",,,,,Acrylic,Avalible,3,1,2025,Panel,https://www.etsy.com/listing/4334757876/downtown-reno-plein-air-fine-art-giclee
bee.jpg,Whats the buzz,Landscape Floral,Heavily textured impasto painting of a bee in a field of flowers.,,,, x  x in,Acrylic,Avalible,,1,,Canvas,
bathing.jpg,The Bathing Pool,Landscape Recreation,Recreation of the bathing pool by Hubert Robert painting is still work in progress until I regain access.,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
bathtub.jpg,Girl in Bathtub,Figure Colorful,Colorful painting of a girl passed out in a bathtub,,,, x  x in,Acrylic,Avalible,,1,,Canvas,
femalebod.jpg,Female Torso,Figure,Painting of a female torso with florals in the background,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
fluidgurl.jpg,Fluid Girl,Portrait Colorful,Pastel abstracted portrait of a greek or roman statue of a woman,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
gasmask.jpg,Gas Mask,Portrait Colorful,Pointilist painting of a woman in a gasmask,,,, x  x in,Acrylic,Avalible,,1,,Canvas,
monkeskull.jpg,Monkey Skeleton,Animal Colorful,Contemporart drawing of a colorful monkey skeleton,,,, x  x in,Marker,Avalible,,0,,Canvas,
abstractface.jpg,Abstract Face,Abstract Colorful,Abstracted portrait painting/ drawing,,,, x  x in,Acrylic and Marker,Avalible,,0,,Canvas,
